"No","Phrase","ID","Title","URL","Name","PhraseYes","Contrast","Referent","ReferentCategory","Quantity","QuantType","HandsVisible","HandsMoving","HandsOccupied","WhichHand","HandShape","PinchType","PinkieCurl","PalmOrientation","MovementComplexity","MovementDirection","Comment"
202,"tiny_number","CSPAN_20140908_020000_Road_to_the_White_House","Road to the White House : CSPAN : September 7, 2014 10:00pm-11:01pm EDT","http://archive.org/download/CSPAN_20140908_020000_Road_to_the_White_House/CSPAN_20140908_020000_Road_to_the_White_House.mp4?t=2366/2396&ignore=x.mp4","mehdi hasan","yes","yes","muslims","people","7e+06","NA","yes","yes","right","left","open","NA","NA","up/inward",NA,NA,NA
207,"tiny_number","CNNW_20141025_220000_Smerconish","Smerconish : CNNW : October 25, 2014 3:00pm-4:01pm PDT","http://archive.org/download/CNNW_20141025_220000_Smerconish/CNNW_20141025_220000_Smerconish.mp4?t=332/362&ignore=x.mp4","alexander van tulleken","yes","yes","ebola viruses","other","NA","NA","yes","yes","no","right","pinch","precision_grip","yes","NA",NA,NA,"discuss"
208,"tiny_number","CSPAN2_20141105_121900_Key_Capitol_Hill_Hearings","Key Capitol Hill Hearings : CSPAN2 : November 5, 2014 7:19am-8:31am EST","http://archive.org/download/CSPAN2_20141105_121900_Key_Capitol_Hill_Hearings/CSPAN2_20141105_121900_Key_Capitol_Hill_Hearings.mp4?t=4108/4138&ignore=x.mp4","hans von spakovsky","yes","no","registered voters ","people","5e-04","percent","yes","yes","no","left","pinch","precision_grip","yes","NA",NA,NA,"CHECK; discuss"
216,"tiny_number","MSNBCW_20150326_190000_The_Cycle","The Cycle : MSNBCW : March 26, 2015 12:00pm-1:01pm PDT","http://archive.org/download/MSNBCW_20150326_190000_The_Cycle/MSNBCW_20150326_190000_The_Cycle.mp4?t=2592/2622&ignore=x.mp4","gail saltz","yes","no","people ","people","1","percent","yes","yes","no","both","pinch","precision_grip","yes","NA",NA,NA,NA
217,"tiny_number","CSPAN2_20150328_134800_Panel_Discussion_on_the_Future_of_Politics","Panel Discussion on the Future of Politics : CSPAN2 : March 28, 2015 9:48am-10:49am EDT","http://archive.org/download/CSPAN2_20150328_134800_Panel_Discussion_on_the_Future_of_Politics/CSPAN2_20150328_134800_Panel_Discussion_on_the_Future_of_Politics.mp4?t=1266/1296&ignore=x.mp4","john nichols","yes","no","piolet suicide by plane","life/death","1","percent","yes","yes","no","left","open","NA","NA","down",NA,NA,NA
220,"tiny_number","CSPAN_20150427_123000_Washington_Journal","Washington Journal : CSPAN : April 27, 2015 8:30am-10:01am EDT","http://archive.org/download/CSPAN_20150427_123000_Washington_Journal/CSPAN_20150427_123000_Washington_Journal.mp4?t=2152/2182&ignore=x.mp4","daniel ellsberg","yes","no","leakers/ whistleblowers","people","NA","NA","yes","yes","no","both","open","NA","NA","down",NA,NA,NA
222,"tiny_number","CNNW_20120419_220000_John_King_USA","John King, USA : CNNW : April 19, 2012 3:00pm-4:00pm PDT","http://archive.org/download/CNNW_20120419_220000_John_King_USA/CNNW_20120419_220000_John_King_USA.mp4?t=2363/2393&ignore=x.mp4","john king","yes","no","observers","people","NA","NA","yes","yes","left","left","open","NA","NA","up",NA,NA,"CHECK"
224,"tiny_number","CSPAN_20150604_000000_House_Session","House Session : CSPAN : June 3, 2015 8:00pm-9:01pm EDT","http://archive.org/download/CSPAN_20150604_000000_House_Session/CSPAN_20150604_000000_House_Session.mp4?t=2458/2488&ignore=x.mp4","tom mcclintock","yes","no","air service flights ","other","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,"CHECK"
229,"tiny_number","LINKTV_20150707_150000_Democracy_Now","Democracy Now! : LINKTV : July 7, 2015 8:00am-9:01am PDT","http://archive.org/download/LINKTV_20150707_150000_Democracy_Now/LINKTV_20150707_150000_Democracy_Now.mp4?t=3116/3146&ignore=x.mp4","richard wolff","yes","yes","wealthy people ","people","NA","NA","yes","yes","no","both","open","NA","NA","inward",NA,NA,"touch each other"
232,"tiny_number","LINKTV_20150824_150000_Democracy_Now","Democracy Now! : LINKTV : August 24, 2015 8:00am-9:01am PDT","http://archive.org/download/LINKTV_20150824_150000_Democracy_Now/LINKTV_20150824_150000_Democracy_Now.mp4?t=854/884&ignore=x.mp4","lawrence lessing","yes","no","families","people","400","NA","yes","yes","no","left","pinch","precision_grip","yes","NA",NA,NA,NA
