"No","Phrase","ID","Title","URL","Name","PhraseYes","Contrast","Referent","ReferentCategory","Quantity","QuantType","HandsVisible","HandsMoving","HandsOccupied","WhichHand","HandShape","PinchType","PinkieCurl","PalmOrientation","MovementComplexity","MovementDirection","Comment"
97,"tiny_number","MSNBC_20110308_080000_The_Last_Word","The Last Word : MSNBC : March 8, 2011 3:00am-4:00am EST","http://archive.org/download/MSNBC_20110308_080000_The_Last_Word/MSNBC_20110308_080000_The_Last_Word.mp4?t=1379/1409&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
98,"tiny_number","CNBC_20120629_230000_The_Kudlow_Report","The Kudlow Report : CNBC : June 29, 2012 7:00pm-8:00pm EDT","http://archive.org/download/CNBC_20120629_230000_The_Kudlow_Report/CNBC_20120629_230000_The_Kudlow_Report.mp4?t=2166/2196&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
100,"tiny_number","WTTG_20120304_030000_Fox_5_News_at_Ten","Fox 5 News at Ten : WTTG : March 3, 2012 10:00pm-11:00pm EST","http://archive.org/download/WTTG_20120304_030000_Fox_5_News_at_Ten/WTTG_20120304_030000_Fox_5_News_at_Ten.mp4?t=1092/1122&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
101,"tiny_number","WTTG_20100829_020000_Fox_5_News_at_Ten","Fox 5 News at Ten : WTTG : August 28, 2010 10:00pm-11:00pm EDT","http://archive.org/download/WTTG_20100829_020000_Fox_5_News_at_Ten/WTTG_20100829_020000_Fox_5_News_at_Ten.mp4?t=207/237&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
102,"tiny_number","FOXNEWSW_20120304_030000_The_Five","The Five : FOXNEWSW : March 3, 2012 7:00pm-8:00pm PST","http://archive.org/download/FOXNEWSW_20120304_030000_The_Five/FOXNEWSW_20120304_030000_The_Five.mp4?t=2047/2077&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
103,"tiny_number","MSNBC_20110209_210000_The_Dylan_Ratigan_Show","The Dylan Ratigan Show : MSNBC : February 9, 2011 4:00pm-5:00pm EST","http://archive.org/download/MSNBC_20110209_210000_The_Dylan_Ratigan_Show/MSNBC_20110209_210000_The_Dylan_Ratigan_Show.mp4?t=2045/2075&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
104,"tiny_number","CNNW_20120818_230000_CNN_Newsroom","CNN Newsroom : CNNW : August 18, 2012 4:00pm-5:00pm PDT","http://archive.org/download/CNNW_20120818_230000_CNN_Newsroom/CNNW_20120818_230000_CNN_Newsroom.mp4?t=2066/2096&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
107,"tiny_number","WTTG_20120304_130000_Fox_5_Morning_News_Sunday","Fox 5 Morning News Sunday : WTTG : March 4, 2012 8:00am-9:00am EST","http://archive.org/download/WTTG_20120304_130000_Fox_5_Morning_News_Sunday/WTTG_20120304_130000_Fox_5_Morning_News_Sunday.mp4?t=600/630&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
108,"tiny_number","CNNW_20111123_200000_CNN_Newsroom","CNN Newsroom : CNNW : November 23, 2011 12:00pm-1:00pm PST","http://archive.org/download/CNNW_20111123_200000_CNN_Newsroom/CNNW_20111123_200000_CNN_Newsroom.mp4?t=530/560&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
109,"tiny_number","CNNW_20120824_000000_Anderson_Cooper_360","Anderson Cooper 360 : CNNW : August 23, 2012 5:00pm-6:00pm PDT","http://archive.org/download/CNNW_20120824_000000_Anderson_Cooper_360/CNNW_20120824_000000_Anderson_Cooper_360.mp4?t=868/898&ignore=x.mp4","anderson cooper","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
112,"tiny_number","CSPAN2_20120513_230000_Book_TV","Book TV : CSPAN2 : May 13, 2012 7:00pm-8:00pm EDT","http://archive.org/download/CSPAN2_20120513_230000_Book_TV/CSPAN2_20120513_230000_Book_TV.mp4?t=408/438&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
114,"tiny_number","FOXNEWS_20090813_190000_Studio_B_With_Shepard_Smith","Studio B With Shepard Smith : FOXNEWS : August 13, 2009 3:00pm-4:00pm EDT","http://ia600802.us.archive.org/21/items/FOXNEWS_20090813_190000_Studio_B_With_Shepard_Smith/FOXNEWS_20090813_190000_Studio_B_With_Shepard_Smith.mp4?start=2555&end=2585&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"changed-link"
116,"tiny_number","CSPAN_20121015_045500_Road_to_the_White_House","Road to the White House : CSPAN : October 15, 2012 12:55am-2:00am EDT","http://archive.org/download/CSPAN_20121015_045500_Road_to_the_White_House/CSPAN_20121015_045500_Road_to_the_White_House.mp4?t=3336/3366&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
118,"tiny_number","FBC_20130201_000000_Lou_Dobbs_Tonight","Lou Dobbs Tonight : FBC : January 31, 2013 7:00pm-8:00pm EST","http://archive.org/download/FBC_20130201_000000_Lou_Dobbs_Tonight/FBC_20130201_000000_Lou_Dobbs_Tonight.mp4?t=492/522&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"discuss"
121,"tiny_number","ALJAZAM_20130919_180000_News","News : ALJAZAM : September 19, 2013 2:00pm-3:01pm EDT","http://archive.org/download/ALJAZAM_20130919_180000_News/ALJAZAM_20130919_180000_News.mp4?t=531/561&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
122,"tiny_number","KTVU_20131011_050000_Ten_OClock_News","Ten O'Clock News : KTVU : October 10, 2013 10:00pm-11:01pm PDT","http://ia601007.us.archive.org/0/items/KTVU_20131011_050000_Ten_OClock_News/KTVU_20131011_050000_Ten_OClock_News.mp4?start=1851&end=1881&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"changed-link"
124,"tiny_number","FBC_20131021_230000_Lou_Dobbs_Tonight","Lou Dobbs Tonight : FBC : October 21, 2013 7:00pm-8:01pm EDT","http://archive.org/download/FBC_20131021_230000_Lou_Dobbs_Tonight/FBC_20131021_230000_Lou_Dobbs_Tonight.mp4?t=327/357&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
125,"tiny_number","CNNW_20131124_150000_Fareed_Zakaria_GPS","Fareed Zakaria GPS : CNNW : November 24, 2013 7:00am-8:01am PST","http://archive.org/download/CNNW_20131124_150000_Fareed_Zakaria_GPS/CNNW_20131124_150000_Fareed_Zakaria_GPS.mp4?t=3254/3284&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
126,"tiny_number","CNNW_20131124_180000_Fareed_Zakaria_GPS","Fareed Zakaria GPS : CNNW : November 24, 2013 10:00am-11:01am PST","http://archive.org/download/CNNW_20131124_180000_Fareed_Zakaria_GPS/CNNW_20131124_180000_Fareed_Zakaria_GPS.mp4?t=3267/3297&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
127,"tiny_number","ALJAZAM_20140225_020000_America_Tonight","America Tonight : ALJAZAM : February 24, 2014 9:00pm-10:01pm EST","http://archive.org/download/ALJAZAM_20140225_020000_America_Tonight/ALJAZAM_20140225_020000_America_Tonight.mp4?t=3045/3075&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
128,"tiny_number","MSNBCW_20120710_140000_Jansing_and_Co.","Jansing and Co. : MSNBCW : July 10, 2012 7:00am-8:00am PDT","http://archive.org/download/MSNBCW_20120710_140000_Jansing_and_Co./MSNBCW_20120710_140000_Jansing_and_Co..mp4?t=40/70&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
129,"tiny_number","FOXNEWSW_20140902_190000_Shepard_Smith_Reporting","Shepard Smith Reporting : FOXNEWSW : September 2, 2014 12:00pm-1:01pm PDT","http://archive.org/download/FOXNEWSW_20140902_190000_Shepard_Smith_Reporting/FOXNEWSW_20140902_190000_Shepard_Smith_Reporting.mp4?t=1074/1104&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
130,"tiny_number","FOXNEWSW_20140922_020000_Stossel","Stossel : FOXNEWSW : September 21, 2014 7:00pm-8:01pm PDT","http://archive.org/download/FOXNEWSW_20140922_020000_Stossel/FOXNEWSW_20140922_020000_Stossel.mp4?t=364/394&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
131,"tiny_number","BBCAMERICA_20140924_100000_BBC_World_News","BBC World News : BBCAMERICA : September 24, 2014 6:00am-7:01am EDT","http://archive.org/download/BBCAMERICA_20140924_100000_BBC_World_News/BBCAMERICA_20140924_100000_BBC_World_News.mp4?t=2008/2038&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
132,"tiny_number","CNNW_20141008_190000_CNN_Newsroom_With_Brooke_Baldwin","CNN Newsroom With Brooke Baldwin : CNNW : October 8, 2014 12:00pm-1:01pm PDT","http://archive.org/download/CNNW_20141008_190000_CNN_Newsroom_With_Brooke_Baldwin/CNNW_20141008_190000_CNN_Newsroom_With_Brooke_Baldwin.mp4?t=2493/2523&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
133,"tiny_number","WPHL_20141118_030000_Action_News_at_Ten_on_PHL17","Action News at Ten on PHL17 : WPHL : November 17, 2014 10:00pm-11:01pm EST","http://archive.org/download/WPHL_20141118_030000_Action_News_at_Ten_on_PHL17/WPHL_20141118_030000_Action_News_at_Ten_on_PHL17.mp4?t=2851/2881&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"literal"
134,"tiny_number","ALJAZAM_20141118_210000_News","News : ALJAZAM : November 18, 2014 4:00pm-5:01pm EST","http://archive.org/download/ALJAZAM_20141118_210000_News/ALJAZAM_20141118_210000_News.mp4?t=1660/1690&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"discuss"
136,"tiny_number","CNNW_20141224_010000_Anderson_Cooper_360","Anderson Cooper 360 : CNNW : December 23, 2014 5:00pm-6:01pm PST","http://ia902704.us.archive.org/5/items/CNNW_20141224_010000_Anderson_Cooper_360/CNNW_20141224_010000_Anderson_Cooper_360.mp4?start=564&end=594&ignore=x.mp4","wolf blitzer","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"changed-link"
137,"tiny_number","CNNW_20141223_180000_Wolf","Wolf : CNNW : December 23, 2014 10:00am-11:01am PST","http://archive.org/download/CNNW_20141223_180000_Wolf/CNNW_20141223_180000_Wolf.mp4?t=1908/1938&ignore=x.mp4","wolf blitzer","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
139,"tiny_number","FOXNEWSW_20150214_210000_Americas_News_Headquarters","America's News Headquarters : FOXNEWSW : February 14, 2015 1:00pm-2:01pm PST","http://archive.org/download/FOXNEWSW_20150214_210000_Americas_News_Headquarters/FOXNEWSW_20150214_210000_Americas_News_Headquarters.mp4?t=3383/3413&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
140,"tiny_number","FOXNEWSW_20150417_060000_On_the_Record_With_Greta_Van_Susteren","On the Record With Greta Van Susteren : FOXNEWSW : April 16, 2015 11:00pm-12:01am PDT","http://archive.org/download/FOXNEWSW_20150417_060000_On_the_Record_With_Greta_Van_Susteren/FOXNEWSW_20150417_060000_On_the_Record_With_Greta_Van_Susteren.mp4?t=2592/2622&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
141,"tiny_number","FOXNEWSW_20150609_160000_Outnumbered","Outnumbered : FOXNEWSW : June 9, 2015 9:00am-10:01am PDT","http://archive.org/download/FOXNEWSW_20150609_160000_Outnumbered/FOXNEWSW_20150609_160000_Outnumbered.mp4?t=1070/1100&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
142,"tiny_number","CSPAN_20150621_210500_Washington_This_Week","Washington This Week : CSPAN : June 21, 2015 5:05pm-6:01pm EDT","http://archive.org/download/CSPAN_20150621_210500_Washington_This_Week/CSPAN_20150621_210500_Washington_This_Week.mp4?t=2969/2999&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
143,"tiny_number","ALJAZAM_20150725_100000_Weekend_News","Weekend News : ALJAZAM : July 25, 2015 6:00am-7:01am EDT","http://archive.org/download/ALJAZAM_20150725_100000_Weekend_News/ALJAZAM_20150725_100000_Weekend_News.mp4?t=1655/1685&ignore=x.mp4","bernie sanders","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
144,"tiny_number","ALJAZAM_20150725_130000_Weekend_News","Weekend News : ALJAZAM : July 25, 2015 9:00am-10:01am EDT","http://archive.org/download/ALJAZAM_20150725_130000_Weekend_News/ALJAZAM_20150725_130000_Weekend_News.mp4?t=1414/1444&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
145,"tiny_number","ALJAZAM_20150725_210000_Weekend_News","Weekend News : ALJAZAM : July 25, 2015 5:00pm-6:01pm EDT","http://archive.org/download/ALJAZAM_20150725_210000_Weekend_News/ALJAZAM_20150725_210000_Weekend_News.mp4?t=2811/2841&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
146,"tiny_number","ALJAZAM_20150725_230000_Weekend_News","Weekend News : ALJAZAM : July 25, 2015 7:00pm-8:01pm EDT","http://archive.org/download/ALJAZAM_20150725_230000_Weekend_News/ALJAZAM_20150725_230000_Weekend_News.mp4?t=2328/2358&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
149,"tiny_number","MSNBCW_20111230_020000_The_Rachel_Maddow_Show","The Rachel Maddow Show : MSNBCW : December 29, 2011 6:00pm-7:00pm PST","http://archive.org/download/MSNBCW_20111230_020000_The_Rachel_Maddow_Show/MSNBCW_20111230_020000_The_Rachel_Maddow_Show.mp4?t=1240/1270&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
150,"tiny_number","MSNBC_20110408_030000_The_Last_Word","The Last Word : MSNBC : April 7, 2011 11:00pm-12:00am EDT","http://archive.org/download/MSNBC_20110408_030000_The_Last_Word/MSNBC_20110408_030000_The_Last_Word.mp4?t=1538/1568&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
156,"tiny_number","MSNBCW_20111122_030000_The_Last_Word","The Last Word : MSNBCW : November 21, 2011 7:00pm-8:00pm PST","http://archive.org/download/MSNBCW_20111122_030000_The_Last_Word/MSNBCW_20111122_030000_The_Last_Word.mp4?t=1577/1607&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
159,"tiny_number","CSPAN2_20100117_150000_Book_TV","Book TV : CSPAN2 : January 17, 2010 10:00am-11:00am EST","http://archive.org/download/CSPAN2_20100117_150000_Book_TV/CSPAN2_20100117_150000_Book_TV.mp4?t=811/841&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
160,"tiny_number","CNBC_20120307_040000_Mad_Money","Mad Money : CNBC : March 6, 2012 11:00pm-12:00am EST","http://archive.org/download/CNBC_20120307_040000_Mad_Money/CNBC_20120307_040000_Mad_Money.mp4?t=3382/3412&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
161,"tiny_number","MSNBC_20110621_000000_The_Last_Word","The Last Word : MSNBC : June 20, 2011 8:00pm-9:00pm EDT","http://archive.org/download/MSNBC_20110621_000000_The_Last_Word/MSNBC_20110621_000000_The_Last_Word.mp4?t=1637/1667&ignore=x.mp4","lawrence o'donnell","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
162,"tiny_number","MSNBC_20120710_130000_The_Daily_Rundown","The Daily Rundown : MSNBC : July 10, 2012 9:00am-10:00am EDT","http://archive.org/download/MSNBC_20120710_130000_The_Daily_Rundown/MSNBC_20120710_130000_The_Daily_Rundown.mp4?t=3532/3562&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
163,"tiny_number","CNNW_20120824_080000_Anderson_Cooper_360","Anderson Cooper 360 : CNNW : August 24, 2012 1:00am-2:00am PDT","http://archive.org/download/CNNW_20120824_080000_Anderson_Cooper_360/CNNW_20120824_080000_Anderson_Cooper_360.mp4?t=786/816&ignore=x.mp4","anderson cooper","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
164,"tiny_number","CSPAN2_20100214_010000_Book_TV","Book TV : CSPAN2 : February 13, 2010 8:00pm-9:00pm EST","http://archive.org/download/CSPAN2_20100214_010000_Book_TV/CSPAN2_20100214_010000_Book_TV.mp4?t=1021/1051&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
165,"tiny_number","CNN_20111216_230000_John_King_USA","John King, USA : CNN : December 16, 2011 6:00pm-7:00pm EST","http://archive.org/download/CNN_20111216_230000_John_King_USA/CNN_20111216_230000_John_King_USA.mp4?t=513/543&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
166,"tiny_number","CSPAN2_20110213_200000_Book_TV","Book TV : CSPAN2 : February 13, 2011 3:00pm-4:00pm EST","http://archive.org/download/CSPAN2_20110213_200000_Book_TV/CSPAN2_20110213_200000_Book_TV.mp4?t=1491/1521&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
167,"tiny_number","CSPAN2_20110220_060000_Book_TV","Book TV : CSPAN2 : February 20, 2011 1:00am-2:00am EST","http://archive.org/download/CSPAN2_20110220_060000_Book_TV/CSPAN2_20110220_060000_Book_TV.mp4?t=614/644&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
168,"tiny_number","CSPAN2_20110219_140000_Book_TV","Book TV : CSPAN2 : February 19, 2011 9:00am-10:00am EST","http://archive.org/download/CSPAN2_20110219_140000_Book_TV/CSPAN2_20110219_140000_Book_TV.mp4?t=709/739&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
170,"tiny_number","CSPAN2_20110213_040000_Book_TV","Book TV : CSPAN2 : February 12, 2011 11:00pm-12:00am EST","http://archive.org/download/CSPAN2_20110213_040000_Book_TV/CSPAN2_20110213_040000_Book_TV.mp4?t=864/894&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
171,"tiny_number","CSPAN2_20110319_184500_Book_TV","Book TV : CSPAN2 : March 19, 2011 2:45pm-4:00pm EDT","http://archive.org/download/CSPAN2_20110319_184500_Book_TV/CSPAN2_20110319_184500_Book_TV.mp4?t=667/697&ignore=x.mp4","seth mnookin","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
173,"tiny_number","CSPAN2_20120909_160000_Book_TV_After_Words","Book TV After Words : CSPAN2 : September 9, 2012 12:00pm-1:00pm EDT","http://archive.org/download/CSPAN2_20120909_160000_Book_TV_After_Words/CSPAN2_20120909_160000_Book_TV_After_Words.mp4?t=1242/1272&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
175,"tiny_number","MSNBC_20110621_030000_The_Last_Word","The Last Word : MSNBC : June 20, 2011 11:00pm-12:00am EDT","http://archive.org/download/MSNBC_20110621_030000_The_Last_Word/MSNBC_20110621_030000_The_Last_Word.mp4?t=1639/1669&ignore=x.mp4","lawrence o'donnell","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
178,"tiny_number","MSNBCW_20121031_200000_Martin_Bashir","Martin Bashir : MSNBCW : October 31, 2012 1:00pm-2:00pm PDT","http://archive.org/download/MSNBCW_20121031_200000_Martin_Bashir/MSNBCW_20121031_200000_Martin_Bashir.mp4?t=195/225&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
180,"tiny_number","CNNW_20130116_060000_Anderson_Cooper_360","Anderson Cooper 360 : CNNW : January 15, 2013 10:00pm-11:00pm PST","http://ia801606.us.archive.org/19/items/CNNW_20130116_060000_Anderson_Cooper_360/CNNW_20130116_060000_Anderson_Cooper_360.mp4?start=1380&end=1410&ignore=x.mp4","anderson cooper","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"changed-link"
181,"tiny_number","CNNW_20130116_090000_Anderson_Cooper_360","Anderson Cooper 360 : CNNW : January 16, 2013 1:00am-2:00am PST","http://archive.org/download/CNNW_20130116_090000_Anderson_Cooper_360/CNNW_20130116_090000_Anderson_Cooper_360.mp4?t=1395/1425&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
183,"tiny_number","KQED_20130402_010000_PBS_NewsHour","PBS NewsHour : KQED : April 1, 2013 6:00pm-7:00pm PDT","http://archive.org/download/KQED_20130402_010000_PBS_NewsHour/KQED_20130402_010000_PBS_NewsHour.mp4?t=1805/1835&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
184,"tiny_number","CSPAN_20130623_223000_Washington_This_Week","Washington This Week : CSPAN : June 23, 2013 6:30pm-8:01pm EDT","http://archive.org/download/CSPAN_20130623_223000_Washington_This_Week/CSPAN_20130623_223000_Washington_This_Week.mp4?t=486/516&ignore=x.mp4","robert rector","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
186,"tiny_number","MSNBCW_20131121_170000_NOW_With_Alex_Wagner","NOW With Alex Wagner : MSNBCW : November 21, 2013 9:00am-10:01am PST","http://archive.org/download/MSNBCW_20131121_170000_NOW_With_Alex_Wagner/MSNBCW_20131121_170000_NOW_With_Alex_Wagner.mp4?t=394/424&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
188,"tiny_number","CSPAN2_20131124_233000_After_Words","After Words : CSPAN2 : November 24, 2013 6:30pm-7:31pm EST","http://archive.org/download/CSPAN2_20131124_233000_After_Words/CSPAN2_20131124_233000_After_Words.mp4?t=1358/1388&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
189,"tiny_number","CSPAN2_20131125_020000_After_Words","After Words : CSPAN2 : November 24, 2013 9:00pm-10:01pm EST","http://archive.org/download/CSPAN2_20131125_020000_After_Words/CSPAN2_20131125_020000_After_Words.mp4?t=1306/1336&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
190,"tiny_number","CSPAN2_20131201_160000_After_Words","After Words : CSPAN2 : December 1, 2013 11:00am-12:01pm EST","http://archive.org/download/CSPAN2_20131201_160000_After_Words/CSPAN2_20131201_160000_After_Words.mp4?t=1265/1295&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
191,"tiny_number","MSNBCW_20131209_210000_MSNBC_Live","MSNBC Live : MSNBCW : December 9, 2013 1:00pm-2:01pm PST","http://archive.org/download/MSNBCW_20131209_210000_MSNBC_Live/MSNBCW_20131209_210000_MSNBC_Live.mp4?t=2322/2352&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
192,"tiny_number","MSNBCW_20140107_020000_The_Rachel_Maddow_Show","The Rachel Maddow Show : MSNBCW : January 6, 2014 6:00pm-7:01pm PST","http://archive.org/download/MSNBCW_20140107_020000_The_Rachel_Maddow_Show/MSNBCW_20140107_020000_The_Rachel_Maddow_Show.mp4?t=2239/2269&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
194,"tiny_number","MSNBCW_20140403_200000_NOW_With_Alex_Wagner","NOW With Alex Wagner : MSNBCW : April 3, 2014 1:00pm-2:01pm PDT","http://archive.org/download/MSNBCW_20140403_200000_NOW_With_Alex_Wagner/MSNBCW_20140403_200000_NOW_With_Alex_Wagner.mp4?t=2848/2878&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
196,"tiny_number","WTXF_20140709_210000_FOX_29_News_at_Five","FOX 29 News at Five : WTXF : July 9, 2014 5:00pm-6:01pm EDT","http://archive.org/download/WTXF_20140709_210000_FOX_29_News_at_Five/WTXF_20140709_210000_FOX_29_News_at_Five.mp4?t=2922/2952&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,"literal"
197,"tiny_number","KYW_20140713_130000_CBS_News_Sunday_Morning","CBS News Sunday Morning : KYW : July 13, 2014 9:00am-10:31am EDT","http://archive.org/download/KYW_20140713_130000_CBS_News_Sunday_Morning/KYW_20140713_130000_CBS_News_Sunday_Morning.mp4?t=1641/1671&ignore=x.mp4","NA","yes","no",NA,NA,NA,NA,"no","NA","NA","NA","NA","NA","NA","NA",NA,NA,NA
